lat;lng
44.3564409501;-76.6044156055
44.317587;-76.4193643327
44.307535767;-76.2994415551
44.2777645237;-76.6161866806
44.3075438117;-76.2572868263
44.2811678022;-76.3433320737
44.2985167382;-76.5403899886
44.3080710797;-76.4215408232
44.3056511554;-76.2674592077
44.2672635835;-76.6344287042
44.4365901473;-76.2837901369
44.3224424916;-76.5030175429
44.3112127065;-76.5411913697
44.3252908295;-76.5273847001
44.2768202372;-76.3523285326
44.3331084549;-76.626059746
44.3402394199;-76.4521725331
44.3061019604;-76.4193056299
44.307168851;-76.4252886517
44.2779565642;-76.3323211332
44.3272174794;-76.5023388735
44.3207565513;-76.5137262915
44.2900148378;-76.4189410343
44.3118694119;-76.4119289968
44.372258471;-76.2750185149
44.2452489565;-76.4097614965
44.3198808698;-76.4839088576
44.3313207171;-76.6933686573
44.2853203751;-76.3288553238
44.3381111029;-76.6267800279
44.3272514146;-76.3260998906
44.4160724612;-76.3083557986
44.3149590862;-76.6398256388
44.2928025705;-76.5154131883
44.3005658329;-76.5135698028
44.3124093236;-76.281185202
44.3410340499;-76.5050460978
44.344278286;-76.4485437352
44.288429579;-76.5209576463
44.3094588981;-76.6797785741
44.3127917811;-76.4786277209
44.3556093749;-76.6145884405
44.3807948968;-76.3015290136
44.2573714149;-76.384825112
44.3717358653;-76.2578919226
44.3049117357;-76.4995107732
44.3203621261;-76.4010125516
44.3528945662;-76.5851518706
44.3059885452;-76.4211306711
44.3646413168;-76.3264041754
44.305517981;-76.4149781363
44.299691528;-76.3996343196
44.4195209201;-76.2925222293
44.3437306856;-76.4323931324
44.3054040286;-76.3248391877
44.2519652941;-76.4122159754
44.2855684673;-76.3857876102
44.3260591833;-76.5259372111
44.2675470872;-76.6400355673
44.2971563768;-76.4246309176
44.2687042787;-76.3677252851
44.2925055215;-76.3941451333
44.2453540815;-76.4126189347
44.3146964713;-76.5241967778
44.3570423594;-76.5889505568
44.2511003588;-76.4062488981
44.2583916809;-76.3743596984
44.2963399326;-76.3963591055
44.318365624;-76.4626535202
44.3265717433;-76.2976574578
44.3099179815;-76.4198127147
44.2746592967;-76.3652968237
44.4141930378;-76.2915596391
44.3003929662;-76.5756437286
44.3615743477;-76.3152152403
44.2972006414;-76.5166872214
44.3344497248;-76.2727463335
44.329714171;-76.5396843541
44.2875506041;-76.6364519043
44.2919757939;-76.3199752475
44.3465063806;-76.3931923621
44.3194976497;-76.5206334169
44.3709362666;-76.2499348732
44.408027587;-76.3178081956
44.3206663045;-76.4862809534
44.3084723903;-76.3013842365
44.2705792605;-76.3611409692
44.2507669702;-76.4045940006
44.2441303846;-76.4108948685
44.4137094262;-76.2503416901
44.3196767849;-76.5004901542
44.320141619;-76.4961724987
44.3323750845;-76.4086349497
44.3730529819;-76.2559574415
44.3440489685;-76.6504853359
44.2511236883;-76.3932670687
44.2509797913;-76.4016423339
44.3329836606;-76.2646017506
44.3726021312;-76.2610692423
44.3612920135;-76.3503666042
44.3186197423;-76.4177774638
44.3168015631;-76.4079706516
44.2475279551;-76.4081930002
44.3579788437;-76.3049961152
44.3882453253;-76.2960723759
44.31499541;-76.5975506736
44.3493894362;-76.5959351969
44.2733682182;-76.3693924707
44.2690075735;-76.6259959691
44.2724758151;-76.6218169421
44.2731616778;-76.6223954021
44.2693747855;-76.625985203
44.3403175817;-76.3809005515
44.2714684552;-76.3461311061
44.3898863355;-76.2834288709
44.3216995483;-76.255426501
44.2829415136;-76.6285466422
44.3188349604;-76.5223287239
44.312018389;-76.4339270933
44.2702992721;-76.6281571663
44.2701574437;-76.6281624945
44.3934342692;-76.2418997645
44.2584870686;-76.372036607
44.2662006586;-76.3759901327
44.3079737671;-76.2682968132
44.341586425;-76.5015998858
44.3061025744;-76.4916231932
44.3143763591;-76.5104505385
44.2679868275;-76.3654385122
44.3070231641;-76.4219904231
44.3275757525;-76.4483390457
44.3498874115;-76.5704133409
44.3364228253;-76.2726703959
44.3523260968;-76.7125192847
44.3178527568;-76.6723438585
44.2976899992;-76.3946735934
